Edad,Empleo,Estudios,Grados de estudio,Puesto,Rol familiar,Raza,Genero,Pais de nacimiento,Salario(K),Race
39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,26, White
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,28, White
38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States,46, White
53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States,20, Black
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female, Cuba,32, Black
37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,35, White
49, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female, Jamaica,29, Black
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,45, White
31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,37, White
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,42, White
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States,30, Black
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India,37, Asian-Pac-Islander
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States,41, White
32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male, United-States,35, Black
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, ?,33, Asian-Pac-Islander
34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, Mexico,37, Amer-Indian-Eskimo
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States,31, White
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States,41, White
38, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male, United-States,45, White
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States,23, White
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,23, White
54, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female, United-States,24, Black
35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male, United-States,41, Black
43, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,33, White
59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female, United-States,31, White
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,29, White
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,44, White
54, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, South,49, Asian-Pac-Islander
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,27, White
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,39, White
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male, United-States,23, White
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male, United-States,36, Black
45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, United-States,43, White
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States,46, White
22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, United-States,20, Black
48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico,41, White
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,41, White
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States,43, White
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, ?,47, White
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,29, White
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,33, White
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,33, White
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,31, White
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States,39, White
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,43, White
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States,39, Black
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,26, White
